playerDefensiveAbilityId,birthId,organizationId,tackles,tacklesWon,cards_yellow,cards_red
701,52,53,13,10,7,0
700,52,53,27,17,7,0
1092,318,54,22,12,3,0
1025,258,54,2,2,1,0
729,640,54,34,14,3,0
714,598,54,28,16,2,0
607,7,54,53,36,7,0
425,73,54,66,45,5,0
398,168,54,0,0,1,0
363,350,54,7,4,1,0
346,22,54,6,3,2,1
273,456,54,56,35,5,1
238,30,54,39,26,7,1
192,395,54,21,15,2,0
25,633,54,7,5,0,0
957,27,55,85,61,8,0
307,542,55,2,1,0,0
1102,317,56,14,10,2,0
1097,500,56,9,3,0,0
1096,500,56,2,0,0,0
1095,446,56,27,19,4,0
1053,674,56,0,0,0,0
987,469,56,6,4,0,0
901,225,56,33,17,6,0
816,88,56,58,43,4,0
635,639,56,48,31,3,0
514,534,56,30,15,3,0
362,246,56,102,61,1,0
288,87,56,69,44,10,0
241,578,56,17,10,1,0
233,577,56,16,11,0,0
166,70,56,0,0,0,0
114,651,56,41,20,5,0
111,208,56,31,19,0,0
101,140,56,43,24,3,0
93,43,56,4,3,1,0
89,630,56,8,5,1,0
75,273,56,42,23,1,0
1141,146,57,3,1,1,0
1140,146,57,15,9,1,0
1082,524,57,10,6,1,0
989,641,57,34,18,2,0
937,382,57,14,10,4,0
910,193,57,54,37,2,0
774,56,57,0,0,1,1
762,282,57,37,22,15,0
744,650,57,0,0,0,0
741,190,57,5,3,0,0
740,190,57,13,7,0,0
716,593,57,3,2,4,0
715,593,57,3,2,4,0
464,337,57,1,0,1,0
452,25,57,2,1,0,0
451,25,57,20,11,0,0
435,158,57,61,38,4,0
394,383,57,78,63,9,0
340,119,57,50,38,11,2
293,257,57,25,14,7,0
251,135,57,15,9,6,0
207,378,57,27,19,8,0
182,570,57,4,2,0,1
109,161,57,30,22,3,1
49,255,57,19,10,2,1
1027,390,58,1,1,0,0
995,106,58,14,13,4,0
994,106,58,24,14,4,0
945,64,58,3,3,0,0
944,64,58,0,0,0,0
938,303,58,11,6,6,1
926,521,58,36,26,4,1
692,51,58,61,37,15,1
502,420,58,6,5,2,0
474,143,58,31,19,4,0
430,492,58,49,31,3,1
317,142,58,12,7,4,0
297,166,58,3,1,5,1
296,166,58,25,18,5,1
275,156,58,7,5,4,0
217,567,58,69,44,7,0
150,13,58,35,26,7,0
41,307,58,13,10,3,0
34,404,58,21,14,1,0
1054,500,59,20,15,1,0
958,145,59,49,36,6,0
941,382,59,51,33,6,0
903,153,59,41,29,2,0
758,399,59,25,14,5,0
686,612,59,5,4,2,0
647,273,59,15,9,0,0
646,273,59,5,3,0,0
563,379,59,26,15,5,0
562,379,59,16,13,5,0
448,530,59,7,4,1,0
441,85,59,5,0,0,0
403,67,59,27,19,3,0
396,88,59,98,55,4,1
278,269,59,30,13,6,0
277,269,59,30,13,6,0
194,310,59,42,23,9,0
178,646,59,53,33,3,0
175,587,59,56,35,8,0
144,391,59,20,14,4,0
993,550,60,39,27,3,0
687,419,60,1,0,0,0
476,373,60,50,23,6,0
1131,385,61,33,16,9,0
1077,465,61,31,18,9,0
992,646,61,83,45,11,0
991,646,61,83,45,11,0
985,357,61,10,7,6,1
898,636,61,0,0,3,1
836,225,61,43,26,10,2
806,477,61,62,37,8,0
724,54,61,30,25,5,0
535,5,61,5,4,2,1
481,288,61,5,5,3,1
477,383,61,10,7,1,0
450,25,61,2,1,1,0
449,25,61,20,11,1,0
426,40,61,33,20,3,0
327,136,61,17,11,4,0
326,136,61,17,11,4,0
305,66,61,3,1,3,0
214,448,61,30,21,5,0
1079,162,62,28,19,2,0
1078,162,62,28,19,2,0
1076,414,62,14,7,6,0
1048,156,62,3,2,0,0
1022,439,62,11,7,1,0
999,613,62,24,18,5,0
984,657,62,16,10,3,0
935,478,62,40,27,5,0
718,419,62,25,18,2,0
717,419,62,10,4,2,0
627,563,62,34,17,4,1
626,563,62,34,17,4,1
553,297,62,56,39,7,1
356,436,62,31,16,10,0
237,268,62,77,49,9,0
85,177,62,8,6,2,0
55,545,62,42,25,4,0
43,287,62,75,40,7,1
1137,435,63,10,7,2,0
1011,569,63,33,20,2,0
864,483,63,0,0,0,0
853,46,63,73,49,4,0
848,532,63,74,45,9,0
769,609,63,49,37,4,1
759,79,63,31,14,1,0
696,181,63,23,18,5,0
695,181,63,4,3,5,0
678,181,63,53,33,4,0
674,9,63,8,5,4,1
628,468,63,21,10,5,0
490,419,63,0,0,0,0
484,79,63,93,51,6,1
243,181,63,0,0,0,0
1145,403,64,28,17,4,0
1035,75,64,25,21,3,0
948,180,64,50,32,7,0
919,301,64,14,10,5,0
891,662,64,66,47,5,0
870,591,64,7,5,0,0
809,668,64,16,9,5,0
721,215,64,34,24,8,1
523,403,64,26,18,2,1
323,600,64,11,7,5,0
203,132,64,4,0,0,0
131,494,64,11,7,2,1
105,340,64,6,4,0,0
50,377,64,6,2,0,0
44,217,64,12,7,5,0
1136,556,65,21,15,1,0
712,152,65,10,7,4,1
690,96,65,9,7,0,0
680,586,65,14,8,2,0
673,179,65,33,23,2,0
601,559,65,5,4,0,0
471,225,65,17,13,0,0
456,581,65,57,41,2,0
420,494,65,20,12,2,0
399,282,65,0,0,1,0
333,213,65,112,75,12,0
310,295,65,70,53,11,0
286,480,65,5,4,0,0
264,422,65,1,1,1,0
244,266,65,31,16,8,1
196,88,65,0,0,1,0
169,446,65,12,6,3,0
168,446,65,12,6,3,0
161,433,65,23,14,3,0
