assists,dribbles,sca,sca90,pass_targets,miscontrols,dispossessed,fouled,fbrefId,playerFullName,ca,vis,ldr,pas,dri,agi,cnt,city,country,position,squad,comp,id
2,59,54,1.88,1328,52,43,51,21a66f6a,Harry Kane,183,18,15,18,13,12,15,Walthamstow,England,FW,Tottenham,1. Premier League,134
0,13,8,0.73,481,4,12,11,228b0d9d,Aihen Muñoz,133,10,11,12,12,15,12,Pamplona,Spain,"DF (FB, left)",Real Sociedad,1. La Liga,135
0,8,10,5.11,132,4,3,6,228f73ae,Amin Younes,136,12,6,13,16,17,11,Düsseldorf,Germany,"FW-MF (AM, left)",Napoli,1. Serie A,136
1,24,20,2.41,404,25,20,10,22919e97,Sargis Adamyan,131,14,6,12,14,13,10,Yerevan,Armenia,FW-MF,Hoffenheim,1. Bundesliga,137
1,5,7,1.72,158,12,8,13,229cd98a,Sergio Córdova,121,10,8,10,13,13,9,Calabozo,Venezuela,FW,Augsburg,1. Bundesliga,138
3,41,62,1.88,1946,28,20,58,230a2fac,Giovanni Di Lorenzo,143,11,12,13,11,13,13,Castelnuovo di Garfagnana,Italy,"DF-MF (FB, right)",Napoli,1. Serie A,139
2,30,28,2.01,527,21,30,38,2334478a,Stefano Sturaro,134,11,11,12,9,13,10,Sanremo,Italy,MF (CM),Genoa,1. Serie A,140
1,11,25,0.74,1066,10,19,43,240d3a0b,Dani García,145,12,15,13,11,12,16,Zumarraga,Spain,MF (CM-DM),Athletic Club,1. La Liga,141
2,94,46,1.99,937,20,27,45,246d153b,Ola Aina,138,9,7,11,15,14,11,Southwark,England,DF-MF (FB),Torino,1. Serie A,142
2,33,50,2.83,840,43,34,43,253a06b9,Ezequiel Ávila,141,10,9,13,13,14,9,Rosario,Argentina,FW-MF,Osasuna,1. La Liga,143
2,70,40,3.88,440,34,24,32,254147d4,Moussa Djenepo,130,8,7,12,15,14,12,Bamako,Mali,MF,Southampton,1. Premier League,144
0,8,17,1.12,663,3,5,12,25ab9c9c,Manuel Gulde,125,9,10,12,7,11,16,Mannheim,Germany,DF (CB),Freiburg,1. Bundesliga,145
0,2,1,0.03,444,0,0,5,2628fd2b,Bernd Leno,151,7,9,10,3,16,14,Bietigheim-Bissingen,Germany,GK,Arsenal,1. Premier League,146
0,17,21,1.4,706,41,20,43,2691c772,Ashley Barnes,135,9,10,13,8,12,14,Bath,England,FW,Burnley,1. Premier League,147
0,18,23,1.82,602,16,16,19,26db8853,Walace,125,9,9,12,10,12,12,Salvador,Brazil,MF (CM-DM),Udinese,1. Serie A,148
2,42,58,3.79,858,26,24,29,26f6dca8,Manuel Lanzini,132,14,10,13,16,14,10,San Antonio de Padua,Argentina,MF (AM),West Ham,1. Premier League,149
2,36,28,1.47,698,46,26,23,271b8617,Marcus Ingvartsen,120,11,8,11,11,12,12,Farum,Denmark,FW-MF,Union Berlin,1. Bundesliga,150
0,2,4,0.35,555,6,8,15,2784f898,Éder Militão,150,11,12,12,12,15,13,Sertãozinho,Brazil,"DF-MF (CB, right)",Real Madrid,1. La Liga,151
2,1,7,0.22,1149,6,4,10,27a013f7,Néstor Araujo,140,12,13,13,7,12,15,Guadalajara,Estado de Jalisco,DF (CB),Celta Vigo,1. La Liga,152
1,16,25,1.79,535,42,34,37,27c01749,Aaron Connolly,120,9,7,9,12,12,13,Galway,Republic of Ireland,FW,Brighton,1. Premier League,153
3,7,26,0.72,1737,7,10,24,282f75f3,Lewis Dunk,139,12,14,14,9,11,13,Brighton,England,DF (CB),Brighton,1. Premier League,154
0,0,0,0.0,14,0,0,0,28a15394,Antonio Rosati,103,6,8,5,5,12,12,Tivoli,Italy,GK,Torino,1. Serie A,155
0,0,1,0.03,646,0,0,5,28d596a0,Kepa Arrizabalaga,150,11,10,12,1,15,14,Ondarroa,Spain,GK,Chelsea,1. Premier League,156
0,6,13,0.34,1357,3,2,6,2928dca2,Conor Coady,138,15,17,15,11,13,15,Liverpool,England,DF-MF (CB-DM-WM),Wolves,1. Premier League,157
0,5,7,1.44,243,3,1,7,2946f9a1,Nacho,137,10,13,12,11,15,14,Madrid,Spain,DF (CB-FB),Real Madrid,1. La Liga,158
0,5,7,1.44,243,3,1,7,2946f9a1,Nacho,150,10,13,13,10,13,15,Madrid,Spain,DF (CB-FB),Real Madrid,1. La Liga,159
2,12,38,4.51,605,10,12,11,29733c72,Juan Mata,135,17,11,17,13,14,12,Villafranca Montes de Oca,Spain,FW-MF (AM-WM),Manchester Utd,1. Premier League,160
1,15,10,0.83,363,24,16,15,29b61deb,Pere Pons,129,12,10,12,9,12,15,Girona,Spain,MF (CM-DM),Alavés,1. La Liga,161
2,56,71,2.83,1549,36,19,41,2a0c8ba4,Joan Jordán,142,15,11,15,12,13,14,Palamós,Spain,MF (CM),Sevilla,1. La Liga,162
