id,player,games,minutes
467,Jaume Costa,19,1389
468,Sebastian Rudy,32,2734
469,Jesse Lingard,22,935
470,João Pedro,36,3151
471,Ayoze Pérez,33,2004
472,Gerard Moreno,35,2744
473,Pablo Fornals,36,2172
474,Lucas Alario,24,1174
475,Tyrone Mings,33,2902
476,Alexis Mac Allister,9,352
477,Juanmi,8,264
478,Stefan Ilsanker,6,418
479,Stefan Ilsanker,12,838
480,Andriy Yarmolenko,23,991
481,Germán Valera,1,4
482,Grégoire Defrel,17,980
483,Christian Günter,34,3029
484,Kostas Stafylidis,7,398
485,Miguel Almirón,36,3021
486,Gian Marco Ferrari,23,1897
487,Dennis Praet,27,1134
488,Paul Pogba,16,1204
489,Kyle Walker,29,2392
490,Maximilian Arnold,33,2821
491,Mamadou Sakho,14,931
492,Adrien Rabiot,28,1912
493,Unai López,26,1787
494,Javier Pastore,11,514
495,Maximilian Mittelstädt,26,1887
496,Serge Gnabry,31,2193
497,Riyad Mahrez,33,1944
498,Armando Izzo,31,2686
499,Manuel Akanji,29,2309
500,Dries Mertens,31,1689
501,Danny Rose,12,893
502,Danny Rose,11,863
503,Joel Ward,29,2382
504,João Félix,27,1745
505,Marvin Zeegelaar,13,593
506,Pascal Groß,29,1796
507,Wilfried Singo,4,132
508,Tachi,6,238
509,Reece Oxford,12,375
510,Anthony Martial,32,2624
511,Simon Kjær,15,1240
512,Simon Kjær,5,292
513,Omar Colley,31,2772
514,Lucien Agoume,3,68
515,Mato Jajalo,26,1649
516,Germán Pezzella,33,2830
517,Lorenzo Tonelli,9,702
518,Cheikhou Kouyaté,35,2528
519,Carlos Neva,26,2205
520,Robert Lewandowski,31,2759
521,Adrien Tameze,7,211
522,Ximo Navarro,23,1903
523,Ben Mee,32,2880
524,Toni Lato,8,470
525,Michael Gregoritsch,14,829
526,Michael Gregoritsch,6,303
527,Ander Guevara,14,939
528,Alexander Isak,37,1507
529,Sheraldo Becker,13,540
530,Xaver Schlager,23,1719
531,Ante Budimir,35,2765
532,Rodrygo,19,1019
533,Manolo Gabbiadini,33,2035
534,Guido Carrillo,24,1213
535,Andrea Conti,23,1725
536,Jerry St. Juste,25,2113
537,Jason,20,1175
538,Jetro Willems,19,1493
539,Paolo Faragò,21,1343
540,John McGinn,28,2312
541,Raúl Moro,1,2
542,José Luis Palomino,30,2480
543,Tom Davies,30,2027
544,Amadou Haidara,19,756
545,Grischa Prömel,16,924
546,Lukas Klünter,23,1878
547,Mattias Svanberg,25,1051
548,Domingos Duarte,36,3087
549,Koffi Djidji,17,851
550,Jordan Henderson,30,2238
551,Felipe Caicedo,30,1406
552,Nicolas Nkoulou,31,2692
553,Riccardo Sottil,18,514
554,Danilo,22,1440
555,Danilo,22,1440
556,Florian Kainz,28,1561
557,Jacopo Da Riva,1,1
558,Simone Zaza,24,1640
559,Nahitan Nández,35,2898
560,Gonçalo Paciência,23,1283
561,Manu Trigueros,29,1547
562,Mason Mount,37,2867
563,Matteo Darmian,33,2685
564,Federico Dimarco,3,27
565,Federico Dimarco,13,521
566,Stuart Armstrong,30,1715
567,Allan Nyom,34,2422
568,Lorenzo Venuti,16,858
569,Kyle Walker-Peters,3,241
570,Kyle Walker-Peters,10,703
571,Jeff Hendrick,24,1931
572,Remo Freuler,31,2337
573,Nicolò Zaniolo,26,1503
574,Jon Moncayola,27,1496
575,Sebastiano Luperto,9,529
576,Adam Lallana,15,382
577,Anthony Ujah,24,949
578,John Guidetti,5,96
579,Benjamin Hübner,25,2070
580,Adama Traoré,37,2605
581,Emil Forsberg,22,1141
582,Robin Le Normand,31,2394
583,Makoto Hasebe,23,1968
584,Luke Shaw,24,1733
585,Roberto Soriano,29,2469
586,Roberto Soldado,33,2347
587,Alexandre Lacazette,30,1874
588,Keinan Davis,18,548
589,Cristiano Biraghi,26,1576
590,Aaron Wan-Bissaka,35,3070
591,Raphaël Varane,32,2822
592,Jorge Meré,11,619
593,Romain Saïss,33,2705
594,Ludwig Augustinsson,12,924
595,Ismail Jakobs,20,1672
596,Lucas Ocampos,33,2745
597,Isco,23,1181
598,Juan Musso,38,3420
599,Eric Bailly,4,150
600,Julian Brandt,33,2203
601,Marcus Rashford,31,2643
602,Steven Bergwijn,14,704
603,Aymen Barkok,3,79
604,Sean Longstaff,23,1378
605,Gianmarco Cangiano,3,21
606,Eden Hazard,16,1077
607,Joe Willock,29,857
608,Cristian Romero,30,2577
609,Mark Uth,8,353
610,Mark Uth,15,1162
611,Marash Kumbulla,25,1950
612,Willy Boly,22,1979
613,Igor,17,1337
614,Igor,9,611
615,Dan-Axel Zagadou,15,983
616,Patrick Cutrone,12,297
617,Patrick Cutrone,19,838
618,Eddie Nketiah,13,633
619,Ihlas Bebou,32,2102
620,Aitor Ruibal,25,1220
621,Gareth Bale,16,1089
622,Kevin Möhwald,1,74
623,Alexander Hack,14,805
624,Luis Suárez,28,1998
625,Luis Suárez,28,1998
626,Emre Can,8,284
627,Emre Can,12,955
628,Francis Coquelin,26,1905
629,Kristoffer Askildsen,4,76
630,Hirving Lozano,26,1025
631,Sergio Canales,36,3163
632,Tom Heaton,20,1794
