player,squad,comp,id
Raúl Moro,Lazio,1. Serie A,867
Nacho,Real Madrid,1. La Liga,868
Lucas Moura,Tottenham,1. Premier League,869
Gonzalo Villar,Roma,1. Serie A,870
Jadon Sancho,Dortmund,1. Bundesliga,871
Kevin Vogt,Hoffenheim,1. Bundesliga,872
Adrien Tameze,Atalanta,1. Serie A,873
Stuart Armstrong,Southampton,1. Premier League,874
Romain Saïss,Wolves,1. Premier League,875
Patrick Cutrone,Fiorentina,1. Serie A,876
Emre Can,Juventus,1. Serie A,877
Konrad Laimer,RB Leipzig,1. Bundesliga,878
Nélson Semedo,Barcelona,1. La Liga,879
Noah Katterbach,Köln,1. Bundesliga,880
Germán Pezzella,Fiorentina,1. Serie A,881
Cheikhou Kouyaté,Crystal Palace,1. Premier League,882
Geoffrey Kondogbia,Valencia,1. La Liga,883
Samuel Di Carmine,Hellas Verona,1. Serie A,884
Hans Hateboer,Atalanta,1. Serie A,885
Adama Soumaoro,Genoa,1. Serie A,886
Alexander Hack,Mainz 05,1. Bundesliga,887
Kike,Eibar,1. La Liga,888
Alexis Saelemaekers,Milan,1. Serie A,889
Marco Asensio,Real Madrid,1. La Liga,890
Jordan Veretout,Roma,1. Serie A,891
