id,season,country,comp_level,lg_finish,squad,age,minutes_90s,tackles,tackles_won,pressures,pressure_regains,pressure_regain_pct,blocks,blocked_shots,blocked_shots_saves,interceptions,clearances,errors
82b1198a,2019-2020,ITA,1. Serie A,7th,Napoli,30,16.3,0,0,4,0,0,0,0,0,0,0,1
82e34b69,2019-2020,ENG,1. Premier League,19th,Watford,31,24.7,24,17,461,107,23.2,20,2,0,6,22,0
82efe6fa,2019-2020,ITA,1. Serie A,5th,Roma,20,6.8,13,8,67,21,31.3,12,7,0,10,31,1
833fb62e,2019-2020,ESP,1. La Liga,13th,Valladolid,24,14.5,9,9,249,49,19.7,12,1,0,5,3,0
834d0be5,2019-2020,GER,1. Bundesliga,5th,Leverkusen,26,13,7,2,185,51,27.6,9,2,0,2,5,0
8397a50c,2019-2020,ENG,1. Premier League,17th,Aston Villa,26,32.2,25,17,160,66,41.3,72,55,2,20,223,7
839c14e1,2019-2020,ENG,1. Premier League,8th,Arsenal,27,2.8,6,5,55,15,27.3,10,0,0,3,2,0
839c14e1,2019-2020,ENG,1. Premier League,11th,Southampton,27,14.5,46,24,298,92,30.9,37,4,0,16,59,0
83d074ff,2019-2020,ENG,1. Premier League,15th,Brighton,20,3.9,9,4,105,25,23.8,14,1,0,2,1,0
84399660,2019-2020,ESP,1. La Liga,15th,Betis,26,2.9,5,4,49,13,26.5,2,0,0,0,2,0
8455ad90,2019-2020,ESP,1. La Liga,9th,Valencia,18,5,3,2,113,28,24.8,3,0,0,0,1,0
8494acc4,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,30,9.3,26,16,139,53,38.1,11,1,0,11,38,0
8494acc4,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,30,4.6,3,3,44,20,45.5,9,3,0,3,33,0
849c826a,2019-2020,ENG,1. Premier League,16th,West Ham,29,11,15,10,167,46,27.5,8,1,0,3,6,0
84f55b4a,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,17,0,0,0,2,2,100,0,0,0,0,0,0
